bow_style,number,match_score,match_allowance,set_score,set_allowance
longbow,8,150,1290,30,258
longbow,9,150,1290,30,258
longbow,10,150,1290,30,258
longbow,11,149,1291,30,258
longbow,12,149,1291,30,258
longbow,13,149,1291,30,258
longbow,14,149,1291,30,258
longbow,15,149,1291,30,258
longbow,16,149,1291,30,258
longbow,17,149,1291,30,258
longbow,18,148,1292,30,258
longbow,19,148,1292,30,258
longbow,20,148,1292,30,258
longbow,21,148,1292,30,258
longbow,22,147,1293,29,258
longbow,23,147,1293,29,258
longbow,24,147,1293,29,258
longbow,25,146,1294,29,258
longbow,26,146,1294,29,258
longbow,27,145,1295,29,259
longbow,28,145,1295,29,259
longbow,29,145,1295,29,259
longbow,30,144,1296,29,259
longbow,31,144,1296,29,259
longbow,32,143,1297,29,259
longbow,33,143,1297,29,259
longbow,34,142,1298,28,259
longbow,35,141,1299,28,259
longbow,36,141,1299,28,259
longbow,37,140,1300,28,260
longbow,38,140,1300,28,260
longbow,39,139,1301,28,260
longbow,40,138,1302,28,260
longbow,41,138,1302,28,260
longbow,42,137,1303,27,260
longbow,43,136,1304,27,260
longbow,44,135,1305,27,261
longbow,45,134,1306,27,261
longbow,46,134,1306,27,261
longbow,47,133,1307,27,261
longbow,48,132,1308,26,261
longbow,49,131,1309,26,261
longbow,50,130,1310,26,262
longbow,51,129,1311,26,262
longbow,52,128,1312,26,262
longbow,53,127,1313,25,262
longbow,54,125,1315,25,263
longbow,55,124,1316,25,263
longbow,56,123,1317,25,263
longbow,57,122,1318,24,263
longbow,58,120,1320,24,264
longbow,59,119,1321,24,264
longbow,60,118,1322,24,264
longbow,61,116,1324,23,264
longbow,62,115,1325,23,265
longbow,63,113,1327,23,265
longbow,64,111,1329,22,265
longbow,65,110,1330,22,266
longbow,66,108,1332,22,266
longbow,67,106,1334,21,266
longbow,68,104,1336,21,267
longbow,69,102,1338,20,267
longbow,70,100,1340,20,268
longbow,71,98,1342,20,268
longbow,72,96,1344,19,268
longbow,73,94,1346,19,269
longbow,74,92,1348,18,269
longbow,75,90,1350,18,270
longbow,76,87,1353,17,270
longbow,77,85,1355,17,271
longbow,78,82,1358,16,271
longbow,79,80,1360,16,272
longbow,80,77,1363,15,272
longbow,81,75,1365,15,273
longbow,82,72,1368,14,273
longbow,83,70,1370,14,274
longbow,84,67,1373,13,274
longbow,85,65,1375,13,275
longbow,86,62,1378,12,275
longbow,87,60,1380,12,276
longbow,88,57,1383,11,276
longbow,89,55,1385,11,277
longbow,90,52,1388,10,277
longbow,91,50,1390,10,278
longbow,92,48,1392,10,278
longbow,93,45,1395,9,279
longbow,94,43,1397,9,279
longbow,95,41,1399,8,279
longbow,96,39,1401,8,280
longbow,97,37,1403,7,280
longbow,98,35,1405,7,281
longbow,99,33,1407,7,281
longbow,100,31,1409,6,281
longbow,101,30,1410,6,282
longbow,102,28,1412,6,282
longbow,103,26,1414,5,282
